objectid,filename,youtubeid,title,creator,date,description,subject,format,type,location,identifier,language,rights,rightsstatement
RSL-001,library_building_front,—,Rising Star Library Building (Front View),Donna Fretchjen C. Castil,2022,Photograph of the front façade of Rising Star Library,Library Facilities,image/webp,Image,Singapore,building,English,Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/
RSL-002,reading_area,—,Library Reading Area,Donna Fretchjen C. Castil,2023,Photo showing the main reading area for students,Reading Facilities,image/png,Image,Singapore,reading,English,Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/
RSL-003,circulation_desk,—,Circulation Desk,Donna Fretchjen C. Castil,2023,Image of the circulation desk where borrowing services are provided,Library Services,image/png,Image,Singapore,desk,English,Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/
RSL-004,book_shelves,—,Book Collection Shelves,Donna Fretchjen C. Castil,2023,Photograph of printed book collections arranged by subject,Library Collections,image/png,Image,Singapore,shelves,English,Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/
RSL-005,computer_section,—,Computer and E-Library Section,Donna Fretchjen C. Castil,2024,Photo of the computer section for research and online resources,Digital Resources,image/png,Image,Singapore,computer,English,Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/
RSL-006,study_tables,—,Individual Study Tables,Donna Fretchjen C. Castil,2023,Image showing individual study spaces for students,Study Area,image/png,Image,Singapore,tables,English,Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/
RSL-007,library_staff,—,Rising Star Library Staff,Donna Fretchjen C. Castil,2024,Group photo of library staff assisting users,Library Administration,image/png,Image,Singapore,staff,English,Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/

RSL-008,bulletin_board,—,Library Bulletin Board,Donna Fretchjen C. Castil,2024,Photo of the bulletin board displaying announcements and rules,Library Information,image/png,Image,Singapore,bulletin,English,Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/
RSL-009,library_user_guide,—,Rising Star Library User Guide,Donna Fretchjen C. Castil,2024,PDF guide outlining library rules,services,and usage policies,Library Guide,application/pdf,Text,Singapore,guide,English,Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/
RSL-010,library_orientation,—,Rising Star Library Orientation Video,Donna Fretchjen C. Castil,2024,Video presentation introducing library facilities,services,and staff,Library Orientation,video/mp4,Moving Image,Singapore,orientation,English,Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/






